"","Dependent..HDI_missing","X.","unit","value","Coefficient..univariable.","Coefficient..multivariable.","structure.list..Number.in.dataframe...264..Number.in.model...196..Missing...68..Log.likelihood...240.78..AIC....457.6..R.squared...0.012..Adjusted.R.squared....0.042....row.names...c.NA.."
"4","NI","[51.4,49420.0]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.289)","0.00 (-0.00 to 0.00, p=0.829)","Number in dataframe = 264, Number in model = 196, Missing = 68, Log-likelihood = 240.78, AIC = -457.6, R-squared = 0.012, Adjusted R-squared = -0.042"
"3","NE","[86.9,16685.5]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.519)","-0.00 (-0.00 to 0.00, p=0.541)","Number in dataframe = 264, Number in model = 196, Missing = 68, Log-likelihood = 240.78, AIC = -457.6, R-squared = 0.012, Adjusted R-squared = -0.042"
"2","IMS_BS","[0.0,87.1]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.998)","-0.00 (-0.00 to 0.00, p=0.543)","Number in dataframe = 264, Number in model = 196, Missing = 68, Log-likelihood = 240.78, AIC = -457.6, R-squared = 0.012, Adjusted R-squared = -0.042"
"6","PD","[2.2,1079.1]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.073)","-0.00 (-0.00 to 0.00, p=0.946)","Number in dataframe = 264, Number in model = 196, Missing = 68, Log-likelihood = 240.78, AIC = -457.6, R-squared = 0.012, Adjusted R-squared = -0.042"
"1","GDPPC","[164.1,69701.1]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.084)","-0.00 (-0.00 to 0.00, p=0.532)","Number in dataframe = 264, Number in model = 196, Missing = 68, Log-likelihood = 240.78, AIC = -457.6, R-squared = 0.012, Adjusted R-squared = -0.042"
"9","WS","[0.2,1847.2]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.995)","0.00 (-0.00 to 0.00, p=0.662)","Number in dataframe = 264, Number in model = 196, Missing = 68, Log-likelihood = 240.78, AIC = -457.6, R-squared = 0.012, Adjusted R-squared = -0.042"
"10","WUE","[0.2,319.7]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.537)","0.00 (-0.00 to 0.00, p=0.934)","Number in dataframe = 264, Number in model = 196, Missing = 68, Log-likelihood = 240.78, AIC = -457.6, R-squared = 0.012, Adjusted R-squared = -0.042"
"5","NRI","[52.0,3234.8]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.190)","-0.00 (-0.00 to 0.00, p=0.445)","Number in dataframe = 264, Number in model = 196, Missing = 68, Log-likelihood = 240.78, AIC = -457.6, R-squared = 0.012, Adjusted R-squared = -0.042"
"8","TPASDW","[21.3,100.0]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.526)","0.00 (-0.00 to 0.00, p=0.583)","Number in dataframe = 264, Number in model = 196, Missing = 68, Log-likelihood = 240.78, AIC = -457.6, R-squared = 0.012, Adjusted R-squared = -0.042"
"7","TAPND","[0.0,9359.5]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.814)","-0.00 (-0.00 to 0.00, p=0.947)","Number in dataframe = 264, Number in model = 196, Missing = 68, Log-likelihood = 240.78, AIC = -457.6, R-squared = 0.012, Adjusted R-squared = -0.042"
