"","Dependent..HDI_missing","X.","unit","value","Coefficient..univariable.","Coefficient..multivariable.","structure.list..Number.in.dataframe...264..Number.in.model...95..Missing...169..Log.likelihood...93.78..AIC....119.6..R.squared...0.22..Adjusted.R.squared....0.18....row.names...c.NA.."
"15","NI","[51.4,49420.0]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.289)","-0.00 (-0.00 to 0.00, p=0.869)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"14","NE","[86.9,16685.5]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.519)","-0.00 (-0.00 to 0.00, p=0.874)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"8","IMS_BS","[0.0,87.1]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.998)","0.00 (-0.00 to 0.01, p=0.633)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"18","PD","[2.2,1079.1]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.073)","-0.00 (-0.00 to 0.00, p=0.540)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"6","GDPPC","[164.1,69701.1]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.084)","-0.00 (-0.00 to 0.00, p=0.974)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"31","WS","[0.2,1847.2]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.995)","0.00 (-0.00 to 0.00, p=0.402)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"32","WUE","[0.2,319.7]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.537)","0.00 (-0.00 to 0.01, p=0.500)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"17","PCAEI","[0.1,137.5]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.241)","0.00 (-0.00 to 0.00, p=0.467)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"16","NRI","[52.0,3234.8]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.190)","0.00 (-0.00 to 0.00, p=0.955)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"27","TPASDW","[21.3,100.0]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.526)","-0.00 (-0.01 to 0.01, p=0.668)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"24","TAPND","[0.0,9359.5]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.814)","0.00 (-0.00 to 0.00, p=0.945)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
"20","RPASDW","[8.8,100.0]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.957)","0.00 (-0.00 to 0.00, p=0.640)","Number in dataframe = 264, Number in model = 95, Missing = 169, Log-likelihood = 93.78, AIC = -119.6, R-squared = 0.22, Adjusted R-squared = -0.18"
