"","Dependent..NRI_missing","X.","unit","value","Coefficient..univariable.","Coefficient..multivariable.","structure.list..Number.in.dataframe...264..Number.in.model...97..Missing...167..Log.likelihood...165.63..AIC....263.3..R.squared...0.94..Adjusted.R.squared...0.9....row.names...c.NA.."
"16","NI","[51.4,49420.0]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.195)","0.00 (-0.00 to 0.00, p=0.526)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"15","NE","[86.9,16685.5]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.857)","-0.00 (-0.00 to -0.00, p=0.043)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"9","IMS_BS","[0.0,87.1]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.828)","-0.00 (-0.01 to -0.00, p=0.017)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"18","PD","[2.2,1079.1]","Mean (sd)","0.0 (0.1)","0.00 (0.00 to 0.00, p<0.001)","0.00 (0.00 to 0.00, p<0.001)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"6","GDPPC","[164.1,69701.1]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.108)","-0.00 (-0.00 to 0.00, p=0.554)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"7","HDI","[0.2,0.9]","Mean (sd)","0.0 (0.1)","-0.01 (-0.09 to 0.08, p=0.871)","0.21 (-0.40 to 0.83, p=0.491)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"31","WS","[0.2,1847.2]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.706)","-0.00 (-0.00 to 0.00, p=0.996)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"32","WUE","[0.2,319.7]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.940)","-0.00 (-0.01 to -0.00, p=0.009)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"17","PCAEI","[0.1,137.5]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.115)","-0.00 (-0.00 to -0.00, p=0.042)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"27","TPASDW","[21.3,100.0]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.129)","0.00 (-0.00 to 0.01, p=0.174)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"24","TAPND","[0.0,9359.5]","Mean (sd)","0.0 (0.1)","0.00 (-0.00 to 0.00, p=0.981)","-0.00 (-0.00 to 0.00, p=0.778)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
"20","RPASDW","[8.8,100.0]","Mean (sd)","0.0 (0.1)","-0.00 (-0.00 to 0.00, p=0.817)","0.00 (-0.00 to 0.00, p=0.690)","Number in dataframe = 264, Number in model = 97, Missing = 167, Log-likelihood = 165.63, AIC = -263.3, R-squared = 0.94, Adjusted R-squared = 0.9"
