"","Dependent..WUE_missing","X.","unit","value","Coefficient..univariable.","Coefficient..multivariable.","structure.list..Number.in.dataframe...264..Number.in.model...94..Missing...170..Log.likelihood...Inf..AIC....Inf..R.squared...NaN..Adjusted.R.squared...NaN....row.names...c.NA.."
"16","NI","[51.4,49420.0]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.284)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"15","NE","[86.9,16685.5]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.175)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"9","IMS_BS","[0.0,87.1]","Mean (sd)","0.2 (0.4)","-0.00 (-0.01 to 0.00, p=0.069)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"19","PD","[2.2,1079.1]","Mean (sd)","0.2 (0.4)","0.00 (-0.00 to 0.00, p=0.226)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"6","GDPPC","[164.1,69701.1]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to -0.00, p=0.015)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"7","HDI","[0.2,0.9]","Mean (sd)","0.2 (0.4)","-0.28 (-0.60 to 0.05, p=0.092)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"32","WS","[0.2,1847.2]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.056)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"18","PCAEI","[0.1,137.5]","Mean (sd)","0.2 (0.4)","-0.00 (-0.01 to -0.00, p=0.001)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"17","NRI","[52.0,3234.8]","Mean (sd)","0.2 (0.4)","0.00 (0.00 to 0.00, p=0.022)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"28","TPASDW","[21.3,100.0]","Mean (sd)","0.2 (0.4)","0.00 (-0.00 to 0.00, p=0.960)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"25","TAPND","[0.0,9359.5]","Mean (sd)","0.2 (0.4)","0.00 (0.00 to 0.00, p=0.001)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"21","RPASDW","[8.8,100.0]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.998)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
